epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31
0,64.74973375931842,88.04348,96.34146,97.22222,90.243904,50.0,88.297874,90.10989,41.237114,15.463918,60.493828,89.89899,83.0,72.0,45.918365,81.0,91.91919,92.0,84.04256,16.666666,64.210526,40.860214,80.0,86.734695,14.285714,66.666664,73.333336,43.0,53.535355,32.32323,38.541668,42.1875
1,64.99822506212283,82.608696,97.560974,98.611115,74.39024,55.555557,86.17021,86.81319,48.45361,19.58763,74.07407,87.878784,84.0,82.0,38.77551,86.0,91.91919,85.0,88.297874,25.0,58.94737,45.16129,71.0,89.79592,16.32653,54.444443,74.666664,47.0,52.525253,35.353535,42.708332,37.5
2,66.70216542421015,90.21739,97.560974,98.611115,80.48781,52.77778,90.42553,86.81319,49.484535,18.556702,74.07407,89.89899,84.0,86.0,34.69388,86.0,92.92929,92.0,89.3617,26.041666,64.210526,41.935482,83.0,80.61224,17.34694,61.11111,74.666664,47.0,69.69697,32.32323,36.458332,39.0625
3,70.32303869364573,90.21739,97.560974,98.611115,85.36585,55.555557,86.17021,90.10989,59.793816,23.71134,70.37037,93.93939,84.0,87.0,53.061226,94.0,92.92929,89.0,91.489365,33.333332,63.157894,52.68817,87.0,89.79592,18.367348,68.888885,76.0,47.0,72.72727,32.32323,42.708332,53.125
4,72.34646787362442,92.391304,97.560974,98.611115,87.80488,58.333332,88.297874,89.01099,60.82474,27.835052,64.19753,93.93939,87.0,91.0,58.163265,88.0,92.92929,94.0,93.61702,40.625,65.26316,62.365593,93.0,89.79592,19.387754,68.888885,76.0,48.0,75.757576,41.414143,44.791668,50.0
5,73.97941072062478,95.652176,97.560974,100.0,89.02439,58.333332,88.297874,89.01099,64.948456,36.082474,70.37037,92.92929,88.0,91.0,58.163265,95.0,92.92929,89.0,93.61702,40.625,68.42105,64.51613,93.0,89.79592,18.367348,74.44444,77.333336,45.0,79.79798,38.38384,52.083332,60.9375
6,74.58288959886404,95.652176,98.78049,100.0,89.02439,63.88889,90.42553,90.10989,61.85567,37.113403,76.54321,91.91919,86.0,92.0,61.22449,93.0,92.92929,91.0,93.61702,41.666668,69.47369,66.666664,94.0,86.734695,19.387754,78.888885,77.333336,46.0,80.80808,39.39394,44.791668,67.1875
7,75.64785232516861,91.304344,97.560974,97.22222,87.80488,63.88889,89.3617,89.01099,62.886597,40.206184,77.77778,91.91919,88.0,91.0,71.42857,95.0,92.92929,91.0,93.61702,48.958332,68.42105,69.89247,91.0,88.77551,20.408163,78.888885,77.333336,47.0,82.828285,41.414143,57.291668,60.9375
8,75.82534611288605,96.73913,97.560974,100.0,89.02439,61.11111,92.55319,87.91209,63.917526,38.14433,79.012344,94.94949,90.0,91.0,69.38776,90.0,92.92929,91.0,92.55319,50.0,71.57895,70.96774,94.0,87.755104,22.44898,77.77778,73.333336,46.0,82.828285,38.38384,51.041668,67.1875
9,76.14483493077742,94.565216,97.560974,98.611115,89.02439,72.22222,91.489365,89.01099,59.793816,39.17526,75.30864,91.91919,87.0,93.0,71.42857,92.0,92.92929,92.0,92.55319,61.458332,72.63158,69.89247,95.0,88.77551,23.469387,77.77778,78.666664,45.0,81.818184,42.424244,45.833332,64.0625
10,77.38729144479943,95.652176,98.78049,98.611115,89.02439,61.11111,94.680855,89.01099,67.01031,37.113403,76.54321,92.92929,89.0,94.0,73.46939,90.0,92.92929,91.0,91.489365,68.75,71.57895,73.11828,94.0,89.79592,23.469387,83.333336,73.333336,49.0,79.79798,42.424244,58.333332,67.1875
27,77.52928647497338,92.391304,97.560974,97.22222,89.02439,66.666664,89.3617,87.91209,63.917526,39.17526,69.1358,90.90909,86.0,92.0,71.42857,90.0,92.92929,89.0,91.489365,73.958336,67.36842,72.043015,93.0,89.79592,30.612246,72.22222,73.333336,56.0,77.77778,57.575756,69.791664,73.4375
28,77.88427405040824,94.565216,97.560974,97.22222,90.243904,72.22222,92.55319,86.81319,69.07217,37.113403,71.604935,90.90909,83.0,97.0,74.4898,89.0,92.92929,87.0,84.04256,77.083336,70.52631,73.11828,95.0,92.85714,24.489796,73.333336,74.666664,46.0,81.818184,57.575756,70.833336,73.4375
29,78.31025914093007,95.652176,97.560974,98.611115,87.80488,58.333332,95.74468,87.91209,63.917526,36.082474,69.1358,90.90909,88.0,94.0,74.4898,92.0,93.93939,91.0,89.3617,75.0,71.57895,73.11828,95.0,93.87755,18.367348,75.55556,73.333336,47.0,80.80808,72.72727,69.791664,68.75
34,78.4877529286475,95.652176,92.68293,98.611115,89.02439,69.44444,94.680855,90.10989,65.97938,48.45361,69.1358,88.888885,88.0,95.0,76.53061,91.0,91.91919,90.0,89.3617,79.166664,70.52631,72.043015,94.0,91.83673,22.44898,77.77778,72.0,44.0,79.79798,55.555557,70.833336,81.25
35,78.70074547390841,96.73913,92.68293,100.0,90.243904,66.666664,94.680855,87.91209,65.97938,41.237114,70.37037,90.90909,88.0,92.0,79.591835,98.0,92.92929,89.0,89.3617,73.958336,69.47369,72.043015,95.0,89.79592,24.489796,78.888885,73.333336,44.0,86.86869,53.535355,75.0,76.5625
36,79.12673056443025,95.652176,95.12195,97.22222,90.243904,69.44444,93.61702,90.10989,65.97938,42.26804,69.1358,90.90909,87.0,95.0,75.5102,95.0,91.91919,91.0,89.3617,86.458336,67.36842,70.96774,94.0,90.81633,32.65306,77.77778,76.0,45.0,77.77778,57.575756,76.041664,76.5625
38,79.33972310969116,95.652176,92.68293,97.22222,87.80488,66.666664,93.61702,90.10989,64.948456,43.29897,69.1358,90.90909,86.0,94.0,77.55102,96.0,91.91919,89.0,91.489365,86.458336,71.57895,69.89247,94.0,92.85714,24.489796,75.55556,74.666664,61.0,79.79798,55.555557,77.083336,75.0
43,79.90770323038694,96.73913,95.12195,97.22222,87.80488,72.22222,92.55319,87.91209,67.01031,46.391754,70.37037,91.91919,88.0,93.0,77.55102,99.0,93.93939,88.0,88.297874,78.125,69.47369,72.043015,94.0,91.83673,36.734695,78.888885,73.333336,54.0,81.818184,57.575756,80.208336,75.0
44,80.36918707845226,96.73913,95.12195,100.0,87.80488,69.44444,96.80851,87.91209,68.04124,53.608246,69.1358,92.92929,88.0,98.0,77.55102,98.0,92.92929,89.0,88.297874,77.083336,72.63158,70.96774,95.0,91.83673,29.591837,80.0,74.666664,54.0,78.78788,57.575756,82.291664,75.0
46,81.00816471423501,96.73913,97.560974,100.0,89.02439,69.44444,92.55319,87.91209,69.07217,58.762886,70.37037,91.91919,89.0,94.0,80.61224,98.0,92.92929,89.0,90.42553,81.25,70.52631,72.043015,95.0,89.79592,29.591837,81.111115,70.666664,55.0,86.86869,60.60606,82.291664,75.0
48,81.64714235001775,96.73913,95.12195,97.22222,89.02439,66.666664,95.74468,87.91209,75.25773,71.13402,74.07407,91.91919,89.0,96.0,79.591835,96.0,92.92929,90.0,89.3617,83.333336,70.52631,68.81721,95.0,91.83673,29.591837,78.888885,74.666664,51.0,85.85859,69.69697,76.041664,75.0
50,81.89563365282216,96.73913,96.34146,100.0,89.02439,69.44444,88.297874,87.91209,72.16495,56.70103,71.604935,91.91919,89.0,96.0,82.65306,97.0,92.92929,89.0,86.17021,77.083336,70.52631,74.19355,95.0,91.83673,44.89796,78.888885,77.333336,56.0,82.828285,71.71717,85.416664,75.0
51,82.57011004614839,96.73913,96.34146,100.0,89.02439,66.666664,94.680855,89.01099,71.13402,69.07217,69.1358,91.91919,88.0,97.0,81.63265,98.0,92.92929,89.0,88.297874,77.083336,69.47369,72.043015,95.0,90.81633,47.959183,80.0,74.666664,57.0,83.83839,77.77778,80.208336,76.5625
61,82.81860134895278,96.73913,96.34146,95.833336,90.243904,66.666664,94.680855,87.91209,71.13402,58.762886,70.37037,92.92929,90.0,97.0,83.67347,96.0,92.92929,89.0,88.297874,86.458336,70.52631,72.043015,96.0,92.85714,48.97959,81.111115,73.333336,53.0,84.84849,81.818184,82.291664,75.0
66,82.88959886403975,96.73913,92.68293,98.611115,90.243904,66.666664,94.680855,89.01099,71.13402,69.07217,70.37037,92.92929,92.0,97.0,80.61224,95.0,95.959595,89.0,87.23404,80.208336,70.52631,72.043015,96.0,91.83673,50.0,80.0,70.666664,60.0,85.85859,73.73737,82.291664,76.5625
71,82.99609513667022,96.73913,92.68293,97.22222,89.02439,66.666664,94.680855,87.91209,70.103096,61.85567,70.37037,92.92929,89.0,98.0,82.65306,97.0,94.94949,89.0,87.23404,78.125,70.52631,70.96774,96.0,92.85714,57.142857,80.0,69.333336,54.0,86.86869,85.85859,81.25,81.25
72,83.06709265175719,96.73913,92.68293,97.22222,89.02439,66.666664,90.42553,87.91209,70.103096,64.948456,70.37037,92.92929,90.0,98.0,81.63265,99.0,94.94949,89.0,86.17021,78.125,70.52631,70.96774,96.0,94.89796,57.142857,80.0,72.0,56.0,89.89899,79.79798,82.291664,78.125
74,83.35108271210508,96.73913,92.68293,98.611115,89.02439,66.666664,85.106384,87.91209,72.16495,69.07217,70.37037,92.92929,90.0,99.0,81.63265,98.0,94.94949,89.0,85.106384,78.125,70.52631,73.11828,97.0,94.89796,63.265305,80.0,70.666664,59.0,88.888885,77.77778,81.25,78.125
78,83.45757898473553,96.73913,92.68293,97.22222,89.02439,66.666664,88.297874,87.91209,73.19588,76.28866,71.604935,92.92929,87.0,97.0,82.65306,98.0,94.94949,89.0,87.23404,78.125,70.52631,70.96774,96.0,93.87755,61.22449,81.111115,69.333336,55.0,86.86869,82.828285,82.291664,78.125
79,83.88356407525737,96.73913,97.560974,98.611115,90.243904,66.666664,91.489365,87.91209,73.19588,78.35052,70.37037,92.92929,88.0,96.0,80.61224,98.0,94.94949,89.0,84.04256,80.208336,70.52631,69.89247,96.0,91.83673,62.2449,83.333336,70.666664,56.0,86.86869,84.84849,83.333336,78.125
84,83.91906283280085,96.73913,96.34146,98.611115,89.02439,66.666664,82.97872,87.91209,76.28866,79.38145,70.37037,92.92929,88.0,95.0,81.63265,100.0,94.94949,89.0,86.17021,77.083336,69.47369,73.11828,96.0,93.87755,69.38776,80.0,69.333336,53.0,88.888885,87.878784,81.25,76.5625
85,84.02555910543131,96.73913,97.560974,100.0,90.243904,69.44444,81.914894,87.91209,74.22681,78.35052,70.37037,92.92929,90.0,95.0,80.61224,100.0,94.94949,89.0,84.04256,77.083336,70.52631,72.043015,96.0,92.85714,67.34694,81.111115,73.333336,53.0,88.888885,88.888885,83.333336,76.5625
90,84.20305289314874,96.73913,100.0,98.611115,90.243904,66.666664,82.97872,87.91209,74.22681,77.31959,72.83951,92.92929,89.0,95.0,80.61224,98.0,94.94949,89.0,85.106384,78.125,69.47369,72.043015,96.0,92.85714,70.408165,80.0,73.333336,56.0,89.89899,88.888885,81.25,78.125
93,84.48704295349663,96.73913,98.78049,98.611115,90.243904,66.666664,91.489365,87.91209,76.28866,81.4433,71.604935,92.92929,88.0,95.0,80.61224,97.0,94.94949,89.0,85.106384,77.083336,71.57895,68.81721,96.0,93.87755,67.34694,80.0,74.666664,56.0,87.878784,89.89899,83.333336,78.125
96,84.91302804401846,96.73913,97.560974,98.611115,90.243904,66.666664,95.74468,87.91209,75.25773,77.31959,74.07407,92.92929,88.0,95.0,81.63265,96.0,94.94949,89.0,85.106384,77.083336,70.52631,70.96774,96.0,93.87755,67.34694,78.888885,72.0,69.0,86.86869,90.90909,84.375,78.125
103,84.98402555910543,96.73913,97.560974,98.611115,90.243904,69.44444,93.61702,87.91209,75.25773,79.38145,70.37037,92.92929,88.0,95.0,81.63265,100.0,94.94949,89.0,84.04256,80.208336,70.52631,70.96774,96.0,91.83673,67.34694,80.0,72.0,57.0,95.959595,89.89899,87.5,78.125
107,85.09052183173588,97.82609,97.560974,98.611115,90.243904,66.666664,93.61702,87.91209,75.25773,78.35052,70.37037,92.92929,88.0,96.0,81.63265,99.0,94.94949,89.0,87.23404,81.25,69.47369,70.96774,96.0,93.87755,73.46939,78.888885,72.0,61.0,88.888885,90.90909,83.333336,78.125
113,85.12602058927938,96.73913,98.78049,98.611115,90.243904,66.666664,95.74468,87.91209,75.25773,78.35052,65.4321,92.92929,89.0,95.0,81.63265,96.0,94.94949,89.0,84.04256,78.125,70.52631,70.96774,96.0,91.83673,72.44898,81.111115,74.666664,69.0,93.93939,89.89899,81.25,78.125
181,85.19701810436635,95.652176,97.560974,97.22222,90.243904,66.666664,93.61702,87.91209,75.25773,78.35052,61.728394,92.92929,89.0,94.0,81.63265,99.0,94.94949,87.0,85.106384,82.291664,69.47369,64.51613,96.0,89.79592,76.53061,76.666664,70.666664,91.0,88.888885,89.89899,81.25,78.125
