epoch,test_acc,test_acc_class_1,test_acc_class_2,test_acc_class_3,test_acc_class_4,test_acc_class_5,test_acc_class_6,test_acc_class_7,test_acc_class_8,test_acc_class_9,test_acc_class_10,test_acc_class_11,test_acc_class_12,test_acc_class_13,test_acc_class_14,test_acc_class_15,test_acc_class_16,test_acc_class_17,test_acc_class_18,test_acc_class_19,test_acc_class_20,test_acc_class_21,test_acc_class_22,test_acc_class_23,test_acc_class_24,test_acc_class_25,test_acc_class_26,test_acc_class_27,test_acc_class_28,test_acc_class_29,test_acc_class_30,test_acc_class_31,test_acc_class_32,test_acc_class_33,test_acc_class_34,test_acc_class_35,test_acc_class_36,test_acc_class_37,test_acc_class_38,test_acc_class_39,test_acc_class_40,test_acc_class_41,test_acc_class_42,test_acc_class_43,test_acc_class_44,test_acc_class_45,test_acc_class_46,test_acc_class_47,test_acc_class_48,test_acc_class_49,test_acc_class_50,test_acc_class_51,test_acc_class_52,test_acc_class_53,test_acc_class_54,test_acc_class_55,test_acc_class_56,test_acc_class_57,test_acc_class_58,test_acc_class_59,test_acc_class_60,test_acc_class_61,test_acc_class_62,test_acc_class_63,test_acc_class_64,test_acc_class_65
0,68.85043262187767,93.24324,60.97561,74.07407,80.0,89.333336,66.666664,67.5,66.666664,75.0,86.8421,66.666664,68.0,29.545454,47.5,85.0,47.826088,46.666668,33.333332,85.71429,73.333336,81.818184,93.478264,92.22222,65.0,47.826088,85.0,25.0,74.68355,84.78261,77.77778,77.77778,85.71429,62.7451,5.0,21.428572,43.75,83.333336,95.918365,38.095238,60.0,42.105263,84.210526,55.0,50.0,78.947365,22.222221,87.5,63.82979,55.10204,86.666664,75.0,80.0,57.142857,70.731705,80.434784,55.0,60.0,76.08696,70.0,37.5,75.0,67.441864,85.0,33.333332,68.75
1,69.88051091568629,91.89189,65.85366,74.07407,72.5,94.666664,65.65656,65.0,66.666664,75.0,89.47369,62.31884,60.0,43.18182,70.0,85.0,52.173912,46.666668,38.88889,90.47619,75.55556,77.27273,91.304344,87.77778,45.0,23.913044,87.5,27.5,55.6962,82.608696,88.888885,79.166664,77.55102,66.666664,5.0,45.238094,56.25,77.77778,100.0,42.857143,85.0,42.105263,73.68421,50.0,53.846153,78.947365,66.666664,91.666664,57.446808,59.183674,86.666664,70.0,80.0,61.904762,75.60976,82.608696,62.5,60.0,84.78261,60.0,37.5,75.0,76.74419,80.0,52.38095,81.25
3,70.29254221749197,93.24324,56.09756,85.18519,82.5,93.333336,66.666664,67.5,66.666664,80.0,89.47369,60.869564,60.0,43.18182,72.5,87.5,52.173912,53.333332,44.444443,76.190475,73.333336,77.27273,91.304344,93.333336,70.0,41.304348,90.0,17.5,70.88608,84.78261,88.888885,75.0,81.63265,70.588234,0.0,35.714287,46.875,88.888885,97.95918,42.857143,60.0,42.105263,68.42105,55.0,46.153847,84.210526,61.11111,91.666664,57.446808,59.183674,86.666664,65.0,76.666664,59.52381,75.60976,86.95652,75.0,60.0,69.565216,57.5,37.5,70.454544,67.441864,90.0,47.61905,75.0
4,71.32262052073123,93.24324,65.85366,77.77778,77.5,88.0,68.68687,67.5,69.69697,85.0,85.52631,62.31884,56.0,43.18182,82.5,90.0,52.173912,60.0,33.333332,80.95238,68.888885,81.818184,93.478264,95.55556,65.0,30.434782,87.5,30.0,67.08861,82.608696,94.44444,87.5,81.63265,66.666664,5.0,28.571428,59.375,88.888885,93.87755,42.857143,75.0,36.842106,84.210526,55.0,50.0,78.947365,61.11111,83.333336,68.085106,57.142857,80.0,70.0,83.333336,64.28571,70.731705,95.652176,65.0,55.0,84.78261,70.0,43.75,70.454544,69.76744,85.0,38.095238,75.0
5,71.85826119956137,91.89189,65.85366,77.77778,82.5,96.0,76.76768,70.0,57.575756,80.0,86.8421,63.768116,56.0,45.454544,70.0,90.0,52.173912,46.666668,50.0,90.47619,75.55556,81.818184,93.478264,94.44444,75.0,32.608696,87.5,32.5,64.55696,86.95652,88.888885,79.166664,81.63265,70.588234,5.0,42.857143,50.0,77.77778,100.0,52.38095,70.0,36.842106,84.210526,70.0,50.0,78.947365,38.88889,87.5,65.95744,57.142857,86.666664,75.0,83.333336,64.28571,70.731705,84.78261,65.0,60.0,80.434784,65.0,43.75,68.181816,72.093025,85.0,47.61905,75.0
6,73.30037081246519,94.5946,68.29269,81.48148,77.5,98.666664,79.79798,67.5,69.69697,85.0,86.8421,72.46377,52.0,50.0,75.0,90.0,56.52174,60.0,44.444443,85.71429,73.333336,86.36364,93.478264,91.111115,65.0,36.95652,87.5,32.5,68.35443,84.78261,94.44444,83.333336,81.63265,70.588234,0.0,35.714287,59.375,72.22222,100.0,52.38095,55.0,42.105263,89.47369,70.0,53.846153,84.210526,50.0,91.666664,68.085106,63.265305,86.666664,65.0,76.666664,61.904762,73.17073,93.478264,57.5,75.0,76.08696,72.5,43.75,72.72727,79.06977,75.0,47.61905,81.25
8,74.00082405948521,91.89189,70.731705,81.48148,75.0,97.333336,80.80808,67.5,72.72727,85.0,88.1579,68.115944,56.0,43.18182,80.0,90.0,47.826088,73.333336,33.333332,80.95238,77.77778,81.818184,93.478264,93.333336,60.0,43.47826,87.5,35.0,68.35443,89.13043,88.888885,86.111115,81.63265,68.62745,0.0,42.857143,53.125,77.77778,100.0,57.142857,60.0,42.105263,78.947365,75.0,50.0,84.210526,50.0,87.5,76.59574,65.30612,86.666664,65.0,83.333336,61.904762,78.04878,89.13043,70.0,75.0,76.08696,80.0,50.0,68.181816,74.4186,75.0,52.38095,87.5
9,74.20683969152677,93.24324,65.85366,81.48148,75.0,98.666664,81.818184,65.0,72.72727,80.0,85.52631,75.36232,52.0,36.363636,82.5,90.0,52.173912,73.333336,27.777779,90.47619,77.77778,81.818184,89.13043,93.333336,65.0,43.47826,87.5,47.5,72.1519,89.13043,94.44444,84.72222,81.63265,62.7451,5.0,45.238094,53.125,77.77778,100.0,57.142857,65.0,47.36842,84.210526,75.0,50.0,78.947365,61.11111,91.666664,70.21277,61.22449,86.666664,70.0,76.666664,61.904762,78.04878,93.478264,62.5,75.0,73.91304,77.5,50.0,68.181816,79.06977,80.0,57.142857,75.0
10,74.8248866756708,94.5946,70.731705,85.18519,75.0,97.333336,81.818184,70.0,78.78788,80.0,89.47369,72.46377,44.0,45.454544,82.5,87.5,52.173912,66.666664,38.88889,95.2381,77.77778,86.36364,95.652176,93.333336,65.0,45.652172,87.5,40.0,74.68355,89.13043,94.44444,84.72222,83.67347,64.70588,5.0,42.857143,53.125,66.666664,100.0,57.142857,65.0,47.36842,84.210526,65.0,46.153847,84.210526,55.555557,91.666664,76.59574,65.30612,86.666664,65.0,80.0,61.904762,75.60976,93.478264,65.0,75.0,73.91304,77.5,50.0,70.454544,76.74419,70.0,57.142857,81.25
13,74.90729296369517,93.24324,73.17073,81.48148,82.5,98.666664,83.83839,65.0,72.72727,85.0,88.1579,72.46377,48.0,47.727272,80.0,87.5,52.173912,73.333336,38.88889,95.2381,77.77778,81.818184,89.13043,91.111115,55.0,43.47826,87.5,35.0,74.68355,89.13043,94.44444,87.5,81.63265,66.666664,0.0,45.238094,46.875,77.77778,100.0,57.142857,65.0,36.842106,84.210526,75.0,57.692307,84.210526,61.11111,91.666664,78.723404,65.30612,86.666664,65.0,76.666664,61.904762,80.48781,93.478264,65.0,80.0,69.565216,82.5,43.75,70.454544,79.06977,70.0,52.38095,93.75
17,75.07210547687293,94.5946,73.17073,81.48148,80.0,98.666664,84.84849,67.5,72.72727,80.0,88.1579,76.81159,44.0,50.0,85.0,85.0,52.173912,73.333336,38.88889,95.2381,80.0,81.818184,93.478264,92.22222,60.0,45.652172,87.5,35.0,72.1519,89.13043,94.44444,86.111115,81.63265,66.666664,5.0,45.238094,50.0,72.22222,100.0,66.666664,70.0,31.578947,89.47369,65.0,50.0,89.47369,50.0,91.666664,78.723404,65.30612,86.666664,65.0,76.666664,64.28571,75.60976,93.478264,70.0,80.0,71.73913,80.0,43.75,68.181816,79.06977,65.0,47.61905,87.5
